time_s,remaining_error,command_velocity,pass_through,state,planned_dir,planned_run_duration,real_velocity,position
1783297506.197899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.198899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.199899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.200899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.201899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.202899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.203899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.204899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.205899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.206899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.207899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.208899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.209899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.210899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.211899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.212899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.213899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.214899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.215899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.216899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.217899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.218899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.219899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.220899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.221899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.222899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.223899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.224899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.225899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.226899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.227899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.228899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.229899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.230899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.231899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
1783297506.232899,-0.000234,0.000000,0,0,1.000000,0.595968,0.000000,1.000234
